ALGN UW Equity,Align Technology Inc
ALGT UW Equity,Allegiant Travel Co
ALIM UQ Equity,Alimera Sciences Inc
ALJ UN Equity,Alon USA Energy Inc
ALJJ UQ Equity,ALJ Regional Holdings Inc
ALK UN Equity,Alaska Air Group Inc
ALKS UW Equity,Alkermes PLC
ALL UN Equity,Allstate Corp/The
ALLE UN Equity,Allegion plc
ALLK UW Equity,Allakos Inc
ALLO UW Equity,Allogene Therapeutics Inc
ALLY UN Equity,Ally Financial Inc
ALNA UW Equity,Allena Pharmaceuticals Inc
ALNY UW Equity,Alnylam Pharmaceuticals Inc
ALOG UW Equity,Analogic Corp
ALOT UQ Equity,AstroNova Inc
ALPN UQ Equity,Alpine Immune Sciences Inc
ALR UN Equity,Alere Inc
ALRM UW Equity,Alarm.com Holdings Inc
ALRN UQ Equity,Aileron Therapeutics Inc
ALRS UR Equity,Alerus Financial Corp
ALSK UW Equity,Alaska Communications Systems Group Inc
ALSN UN Equity,Allison Transmission Holdings Inc
ALT UA Equity,Altimmune Inc
ALTA UR Equity,Altabancorp
ALTG UN Equity,Alta Equipment Group Inc
ALTM UQ Equity,Altus Midstream Co
ALTR UW Equity,Altair Engineering Inc
ALX UN Equity,Alexander's Inc
ALXN UW Equity,Alexion Pharmaceuticals Inc
AM UN Equity,Antero Midstream Corp
AMAG UW Equity,AMAG Pharmaceuticals Inc
AMAL UQ Equity,Amalgamated Bank
AMAT UW Equity,Applied Materials Inc
AMBA UW Equity,Ambarella Inc
AMBC UN Equity,Ambac Financial Group Inc
AMBC UW Equity,Ambac Financial Group Inc
AMBR UN Equity,Amber Road Inc
AMC UN Equity,AMC Entertainment Holdings Inc
AMCC UW Equity,Applied Micro Circuits Corp
AMCR UN Equity,Amcor PLC
AMCX UW Equity,AMC Networks Inc
AMD UN Equity,Advanced Micro Devices Inc
AMD UR Equity,Advanced Micro Devices Inc
AMD UW Equity,Advanced Micro Devices Inc
AME UN Equity,AMETEK Inc
AMED UW Equity,Amedisys Inc
AMEH UR Equity,Apollo Medical Holdings Inc
AMG UN Equity,Affiliated Managers Group Inc
AMGN UW Equity,Amgen Inc
AMH UN Equity,American Homes 4 Rent
AMIC UR Equity,AMIC Holdings Inc
AMK UN Equity,Assetmark Financial Holdings Inc
AMKR UW Equity,Amkor Technology Inc
AMN UN Equity,AMN Healthcare Services Inc
AMNB UW Equity,American National Bankshares Inc
AMOT UQ Equity,Allied Motion Technologies Inc
AMP UN Equity,Ameriprise Financial Inc
AMPE UA Equity,Ampio Pharmaceuticals Inc
AMPH UW Equity,Amphastar Pharmaceuticals Inc
AMPY UN Equity,Amplify Energy Corp
AMRC UN Equity,Ameresco Inc
AMRE UN Equity,AmREIT Inc
AMRI UW Equity,Albany Molecular Research Inc
AMRK UW Equity,A-Mark Precious Metals Inc
AMRQQ UR Equity,Alta Mesa Resources Inc
AMRS UW Equity,Amyris Inc
AMRX UN Equity,Amneal Pharmaceuticals Inc
AMSC UW Equity,American Superconductor Corp
AMSF UW Equity,AMERISAFE Inc
AMSG UW Equity,Amsurg Corp
AMSWA UW Equity,American Software Inc/GA
AMT UN Equity,American Tower Corp
AMTB UW Equity,Amerant Bancorp Inc
AMTD UN Equity,TD Ameritrade Holding Corp
AMTD UW Equity,TD Ameritrade Holding Corp
AMTG UN Equity,Apollo Residential Mortgage Inc
AMWD UW Equity,American Woodmark Corp
AMZGQ UA Equity,American Eagle Energy Corp
AMZN UW Equity,Amazon.com Inc
AN UN Equity,AutoNation Inc
ANAB UW Equity,AnaptysBio Inc
ANAC UQ Equity,Anacor Pharmaceuticals Inc
ANAT UW Equity,American National Insurance Co
ANCX UQ Equity,Access National Corp
ANDE UW Equity,Andersons Inc/The
ANDV UN Equity,Andeavor
ANET UN Equity,Arista Networks Inc
ANF UN Equity,Abercrombie & Fitch Co
ANGO UW Equity,AngioDynamics Inc
ANH UN Equity,Anworth Mortgage Asset Corp
ANIK UW Equity,Anika Therapeutics Inc
ANIP UQ Equity,ANI Pharmaceuticals Inc
ANN UN Equity,ANN Inc
ANRZQ UN Equity,Alpha Natural Resources Inc
ANSS UW Equity,ANSYS Inc
ANTH UQ Equity,Anthera Pharmaceuticals Inc
ANTM UN Equity,Anthem Inc
ANVGQ UA Equity,Hycroft Mining Corp
AOL UN Equity,Oath Inc
AON UN Equity,Aon PLC
AOS UN Equity,A O Smith Corp
AOSL UW Equity,Alpha & Omega Semiconductor Ltd
AP UN Equity,Ampco-Pittsburgh Corp
APA UN Equity,Apache Corp
APA UW Equity,Apache Corp
APAGF UR Equity,Apco Oil and Gas International Inc
APAM UN Equity,Artisan Partners Asset Management Inc
APC UN Equity,Anadarko Petroleum Corp
APD UN Equity,Air Products and Chemicals Inc
APEI UW Equity,American Public Education Inc
APEX UW Equity,Apex Global Brands Inc
APFH UN Equity,AdvancePierre Foods Holdings Inc
APG UN Equity,API Group Corp
APH UN Equity,Amphenol Corp
APIC UW Equity,Apigee Corp
APLE UN Equity,Apple Hospitality REIT Inc
APLS UW Equity,Apellis Pharmaceuticals Inc
APLT UQ Equity,Applied Therapeutics Inc
APO UN Equity,Apollo Global Management Inc
APOG UW Equity,Apogee Enterprises Inc
APOL UW Equity,Apollo Education Group Inc
APPF UQ Equity,Appfolio Inc
